Дата: 2016/05/26 16:17:00 Наименование: 'Приборы Dmitrienko D.S. часть 1' Позиций добавлено: 182\192 Статус: ОБРАБОТАНО И ПЕРЕМЕЩЕНО В АРХИВ
java.sql.SQLException: UNIQUE constraint failed: SDB_MAIN.Id В строке: INSERT INTO SDB_MAIN VALUES ('1451', '31.01', '50', 'pHep', '14300-94', '0', '63642', '01.12.1999', '496', '0', '0', null);
java.sql.SQLException: UNIQUE constraint failed: SDB_MAIN.Id В строке: INSERT INTO SDB_MAIN VALUES ('1452', '31.01', '50', 'Checker', '14300-94', '0', '63642', '01.12.1999', '496', '0', '0', null);
java.sql.SQLException: UNIQUE constraint failed: SDB_MAIN.Id В строке: INSERT INTO SDB_MAIN VALUES ('1453', '31.01', '50', 'PICCOLO', '14300-94', '0', '63642', '01.12.1999', '496', '0', '0', null);
java.sql.SQLException: UNIQUE constraint failed: SDB_MAIN.Id В строке: INSERT INTO SDB_MAIN VALUES ('1454', '31.01', '50', 'PICCOLO plus', '14300-94', '0', '63642', '01.12.1999', '496', '0', '0', null);
java.sql.SQLException: UNIQUE constraint failed: SDB_MAIN.Id В строке: INSERT INTO SDB_MAIN VALUES ('1455', '31.01', '50', 'ORP', '14300-94', '0', '63642', '01.12.1999', '496', '0', '0', null);
java.sql.SQLException: UNIQUE constraint failed: SDB_MAIN.Id В строке: INSERT INTO SDB_MAIN VALUES ('1456', '31.01', '50', 'pNa', '14300-94', '0', '63642', '01.12.1999', '496', '0', '0', null);
java.sql.SQLException: UNIQUE constraint failed: SDB_MAIN.Id В строке: INSERT INTO SDB_MAIN VALUES ('1466', '31.01', '50', 'HI 9318', '14300-94', '0', '63642', '01.12.1999', '496', '0', '0', null);
java.sql.SQLException: UNIQUE constraint failed: SDB_MAIN.Id В строке: INSERT INTO SDB_MAIN VALUES ('1707', '31.01', '50', 'ORP', '14300-99', '12', '63643', '01.12.2004', '233', '0', '0', null);
java.sql.SQLException: UNIQUE constraint failed: SDB_MAIN.Id В строке: INSERT INTO SDB_MAIN VALUES ('1709', '31.01', '50', 'pHep 2', '14300-99', '12', '63643', '01.12.2004', '233', '0', '0', null);
java.sql.SQLException: UNIQUE constraint failed: SDB_MAIN.Id В строке: INSERT INTO SDB_MAIN VALUES ('1710', '31.01', '50', 'Checker', '14300-99', '12', '63643', '01.12.2004', '233', '0', '0', null);

Дата: 2016/05/26 16:17:40 Наименование: 'Приборы Dmitrienko D.S. часть 2' Позиций добавлено: 285\285 Статус: ОБРАБОТАНО И ПЕРЕМЕЩЕНО В АРХИВ

Дата: 2016/05/26 16:17:40 Фотографий перемещено: 1\1

Дата: 2016/05/26 16:18:43 Наименование: 'Приборы Dmitrienko D.S. часть 1' Позиций добавлено: 0\192 Статус: ОБРАБОТАНО И ПЕРЕМЕЩЕНО В АРХИВ
java.sql.SQLException: UNIQUE constraint failed: SDB_MAIN.Id В строке: INSERT INTO SDB_MAIN VALUES ('1', '27.01', '2', 'X90', '43656-10', '12', '39533', '01.04.2015', '496', '0', '0', null);
java.sql.SQLException: UNIQUE constraint failed: SDB_MAIN.Id В строке: INSERT INTO SDB_MAIN VALUES ('5', '27.01', '3', 'GX1220GG', '33813-07', '12', '27796', '01.03.2012', '363', '0', '0', null);
java.sql.SQLException: UNIQUE constraint failed: SDB_MAIN.Id В строке: INSERT INTO SDB_MAIN VALUES ('6', '27.01', '3', 'GX1230GG', '33813-07', '12', '27796', '01.03.2012', '363', '0', '0', null);
java.sql.SQLException: UNIQUE constraint failed: SDB_MAIN.Id В строке: INSERT INTO SDB_MAIN VALUES ('9', '27.01', '3', 'Trimble R8 GNSS', '33967-07', '12', '27986', '01.04.2012', '363', '0', '0', null);
java.sql.SQLException: UNIQUE constraint failed: SDB_MAIN.Id В строке: INSERT INTO SDB_MAIN VALUES ('10', '27.01', '3', 'Trimble SPS780 Smart', '33967-07', '12', '27986', '01.04.2012', '363', '0', '0', null);
java.sql.SQLException: UNIQUE constraint failed: SDB_MAIN.Id В строке: INSERT INTO SDB_MAIN VALUES ('18', '27.01', '3', 'ProMark500', '39658-08', '12', '34888', '01.01.2014', '363', '0', '0', null);
java.sql.SQLException: UNIQUE constraint failed: SDB_MAIN.Id В строке: INSERT INTO SDB_MAIN VALUES ('19', '27.01', '4', 'GR-3', '35966-07', '12', '30502', '01.10.2012', '363', '0', '0', null);
java.sql.SQLException: UNIQUE constraint failed: SDB_MAIN.Id В строке: INSERT INTO SDB_MAIN VALUES ('20', '27.01', '4', 'TRIUMPH-1-G2T', '40045-08', '12', '35335', '0', '363', '0', '0', null);
java.sql.SQLException: UNIQUE constraint failed: SDB_MAIN.Id В строке: INSERT INTO SDB_MAIN VALUES ('21', '27.01', '4', 'TRIUMPH-1-G3T', '40045-08', '12', '35335', '0', '363', '0', '0', null);
java.sql.SQLException: UNIQUE constraint failed: SDB_MAIN.Id В строке: INSERT INTO SDB_MAIN VALUES ('24', '27.01', '4', 'ALPHA', '40861-09', '12', '36240', '06.06.2019', '363', '0', '0', null);
java.sql.SQLException: UNIQUE constraint failed: SDB_MAIN.Id В строке: INSERT INTO SDB_MAIN VALUES ('26', '27.01', '4', 'DELTA', '40863-09', '12', '36242', '06.06.2019', '363', '0', '0', null);
java.sql.SQLException: UNIQUE constraint failed: SDB_MAIN.Id В строке: INSERT INTO SDB_MAIN VALUES ('28', '27.01', '4', 'OEMV-1', '42670-09', '12', '38460', '01.01.2015', '363', '0', '0', null);
java.sql.SQLException: UNIQUE constraint failed: SDB_MAIN.Id В строке: INSERT INTO SDB_MAIN VALUES ('30', '27.01', '4', 'OEMV-3', '42670-09', '12', '38460', '01.01.2015', '363', '0', '0', null);
